"id","invoice_id","invoices_custom_id","name","type","value","_weld_synced"
"c_clientponumber","241","241_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","209","209_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.695Z"
"c_clientponumber","226","226_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.698Z"
"c_clientponumber","236","236_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.710Z"
"c_clientponumber","251","251_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.885Z"
"c_clientponumber","235","235_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","258","258_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.701Z"
"c_clientponumber","254","254_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.701Z"
"c_clientponumber","248","248_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.700Z"
"c_clientponumber","228","228_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_primarysystem","218","218_c_primarysystem","Primary System","dropdown",,"2025-04-17T12:07:50.697Z"
"c_primarysystem","215","215_c_primarysystem","Primary System","dropdown",,"2025-04-17T12:07:50.697Z"
"c_primarysystem","195","195_c_primarysystem","Primary System","dropdown",,"2025-04-17T12:07:50.709Z"
"c_primarysystem","197","197_c_primarysystem","Primary System","dropdown",,"2025-04-17T12:07:50.709Z"
"c_primarysystem","200","200_c_primarysystem","Primary System","dropdown",,"2025-04-17T12:07:50.693Z"
"c_campaigncode","266","266_c_campaigncode","Campaign Ref","text","""AMDEA Accessibility Video""","2025-04-17T12:07:50.704Z"
"c_campaigncode","246","246_c_campaigncode","Campaign Ref","text","""CSafe LogiPharma EU 25""","2025-04-17T12:07:50.700Z"
"c_campaigncode","233","233_c_campaigncode","Campaign Ref","text","""Charlotte Tilbury Legendary Icons""","2025-04-17T12:07:50.698Z"
"c_campaigncode","276","276_c_campaigncode","Campaign Ref","text","""FOS 2025""","2025-04-17T12:07:50.707Z"
"c_campaigncode","272","272_c_campaigncode","Campaign Ref","text","""FOS 2025""","2025-04-17T12:07:50.706Z"
"c_campaigncode","271","271_c_campaigncode","Campaign Ref","text","""Novartis Cosentyx Rheum BSR""","2025-04-17T12:07:50.706Z"
