"amount","comment","cost","custom_fields","dates","discount","doer_email","doer_id","finance_account_id","finance_account_name","finance_account_symbol","finance_object_id","finance_object_name","finance_object_symbol","id","is_confirmed","is_internal","price","product_code","product_id","product_name","project_id","project_name","quote_id","role_id","role_name","sum","supplier_id","supplier_name","unit","vat","vat_code","vat_code_id","_weld_synced"
"1.000000","Scenic Install - outside ratecard, inc daily travel and PDs.","9488.2100",,"[]","0.000000","","0","0","","","48","Build and Derig Crew","BUI DER","6125","1","0","12187.500000","SCORO_1843","1843","Build & Derig Crew","269","UCL Hospitality Village 2025","643","0","","12187.50","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.413Z"
"1.000000","For 30 days","17449.8000",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6017","1","0","22169.000000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","643","0","","22169.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.309Z"
"8.000000","","4532.6900",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6121","1","1","872.300000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","643","23","Project Lead","6978.40","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.412Z"
"2.000000","2 Day site visit","1164.8200",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6317","1","1","939.350000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","971","23","Project Lead","1878.70","0","","day","20.000","OUTPUT2","24","2025-04-17T12:07:54.695Z"
"1.000000","Partner rate 2024. Does not include travel day","741.9200",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6323","1","1","820.985000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","972","23","Project Lead","820.99","0","","day","20.000","OUTPUT2","24","2025-04-17T12:07:54.696Z"
"1.000000","","581.6600",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6021","1","1","872.300000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","643","23","Project Lead","872.30","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.310Z"
"1.000000","","566.5900",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6135","1","1","872.300000","SCORO_1923","1923","Project Lead","269","UCL Hospitality Village 2025","643","23","Project Lead","872.30","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.498Z"
"1.000000","","566.5900",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6138","1","1","879.690000","SCORO_1932","1932","Production Manager","269","UCL Hospitality Village 2025","643","36","Production Lead","879.69","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"5.000000","","2908.3000",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6018","1","1","879.688000","SCORO_1932","1932","Production Manager","269","UCL Hospitality Village 2025","643","36","Production Lead","4398.44","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.309Z"
"3.000000","","1699.7600",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6123","1","1","879.688000","SCORO_1932","1932","Production Manager","269","UCL Hospitality Village 2025","643","36","Production Lead","2639.06","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.412Z"
"1.000000","Cabin crew and Uefa staff expenses - NOT INCLUDED","0.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6141","1","0","0.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","643","0","","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"8.000000","Cabin Crew - Assume C/O Client. Needed for 2 Hours Online training Prior and 8 Hour Day Live (Inc Travel time)","0.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6139","1","1","0.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","643","29","Event Staff","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"1.000000","DJ Sureshot (includes travel)","1518.3000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","9319","1","0","2169.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","1184","0","","2169.00","0","","day","20.000","OUTPUT2","24","2025-04-17T12:07:55.706Z"
"0.000000","Cleaning Staff - Assume C/O Venue","0.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6146","1","0","0.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","643","0","","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.500Z"
"0.000000","Security - assumes C/O client","0.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6147","1","1","0.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","643","29","Event Staff","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.500Z"
"8.000000","Cabin crew uniform - Assume C/O client","0.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6140","1","0","0.000000","SCORO_2009","2009","Event Staff","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"2.000000","Brand Ambassadors - (Local) Needed for 2 Hours Online training Prior and 8 Hour Day Live (Inc Travel time)","1000.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6142","1","0","650.000000","SCORO_2012","2012","Brand Ambassador","269","UCL Hospitality Village 2025","643","0","","1300.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"2.000000","Brand Ambassador Travel","101.2000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6144","1","0","65.000000","SCORO_2012","2012","Brand Ambassador","269","UCL Hospitality Village 2025","643","0","","130.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.500Z"
"2.000000","Brand Ambassador uniform - Assume C/O client","80.0000",,"[]","0.000000","","0","0","","","27","Event Staff","EVE STA","6143","1","0","81.250000","SCORO_2012","2012","Brand Ambassador","269","UCL Hospitality Village 2025","643","0","","162.50","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.500Z"
"1.000000","98 Screens","11596.7000",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6117","1","0","14895.830000","SCORO_2024","2024","Video","269","UCL Hospitality Village 2025","643","0","","14895.83","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.411Z"
"4.000000","46&quot; LCD Display (x1 per 50 guests)","246.0000",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6109","1","0","0.000000","SCORO_2024","2024","Video","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.408Z"
"1.000000","Power distro allowance","1897.6400",,"[]","0.000000","","0","0","","","32","AV Infrastructure","AV INF","6113","1","0","2062.500000","SCORO_2027","2027","Distro","269","UCL Hospitality Village 2025","643","0","","2062.50","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.410Z"
"12.000000","T-Shaped structures","41756.8800",,"[]","0.000000","","0","0","","","71","Bespoke Build Elements","BE BUI","6088","1","0","4469.698000","SCORO_2045","2045","Bespoke Build Elements","269","UCL Hospitality Village 2025","643","0","","53636.38","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.313Z"
"1.000000","Drapes to centre of the tent","3795.2800",,"[]","0.000000","","0","0","","","71","Bespoke Build Elements","BE BUI","6092","1","0","4875.000000","SCORO_2045","2045","Bespoke Build Elements","269","UCL Hospitality Village 2025","643","0","","4875.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.394Z"
"1.000000","Screen Finishing allowance","2909.7200",,"[]","0.000000","","0","0","","","72","Painting/Finishing","PAI","6093","1","0","3737.500000","SCORO_2046","2046","Painting/Finishing","269","UCL Hospitality Village 2025","643","0","","3737.50","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.394Z"
"30.000000","Painting Allowance (ex florals)","4744.2000",,"[]","0.000000","","0","0","","","72","Painting/Finishing","PAI","6089","1","0","171.875000","SCORO_2046","2046","Painting/Finishing","269","UCL Hospitality Village 2025","643","0","","5156.25","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.313Z"
"1.000000","Tools and Fixings","632.5500",,"[]","0.000000","","0","0","","","55","Warehouse Operations","WARE OPS","6091","1","0","812.500000","SCORO_2094","2094","Sundries","269","UCL Hospitality Village 2025","643","0","","812.50","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.313Z"
